"sampled_at_utc","elapsed_ms","task_count","broker_queue_length","active_workers","pending_outbox_count","completed_last_minute"
"2026-07-10T17:00:33.7925210Z","992.73","0","0","0","0","0"
"2026-07-10T17:00:34.3867590Z","1586.968","0","0","0","0","0"
"2026-07-10T17:00:34.9681937Z","2168.403","0","0","0","0","0"
"2026-07-10T17:00:35.5223774Z","2722.587","0","0","0","0","0"
"2026-07-10T17:00:36.0813259Z","3281.535","0","0","0","0","0"
"2026-07-10T17:00:36.6371529Z","3837.362","0","0","0","0","0"
"2026-07-10T17:00:37.1922439Z","4392.453","0","0","0","0","0"
"2026-07-10T17:00:37.7329272Z","4933.137","0","0","0","0","0"
"2026-07-10T17:00:38.2828601Z","5483.07","6","0","0","3","3"
"2026-07-10T17:00:38.8376206Z","6037.83","9","0","0","0","9"
"2026-07-10T17:00:39.3788897Z","6579.099","15","0","1","0","13"
"2026-07-10T17:00:39.9237057Z","7123.915","18","0","0","0","17"
"2026-07-10T17:00:40.4739072Z","7674.117","18","0","0","0","18"
