"worker_count","metric","sample_count","mean","standard_deviation","ci95_margin","ci95_lower","ci95_upper"
"1","api_requests_per_second","3","24.2874612173033","3.3466467698072","8.31420243999263","15.9732587773107","32.601663657296"
"1","api_p95_ms","3","337.666666666667","452.376318272004","1123.85577202361","-786.18910535694","1461.52243869027"
"1","api_p99_ms","3","570","402.864741569674","1000.8522702677","-430.852270267695","1570.8522702677"
"1","p95_queue_wait_ms","3","2673.41435","294.98227343952","732.835732683769","1940.57861731623","3406.25008268377"
"1","p99_queue_wait_ms","3","2820.45330333333","308.18394134219","765.633140667964","2054.82016266537","3586.0864440013"
"1","p95_runtime_ms","3","25.3514442666667","0.0514845761079303","0.127905099564243","25.2235391671024","25.4793493662309"
"1","task_processing_utilization","3","0.825355049355851","0.0148471483794167","0.0368853380036252","0.788469711352226","0.862240387359476"
"1","peak_broker_queue_length","3","34.6666666666667","5.03322295684717","12.5042281027037","22.162438563963","47.1708947693703"
"1","average_worker_cpu_percent_sum","3","22.0244444444444","9.24255936976895","22.9616433850104","-0.937198940565921","44.9860878294548"
"1","peak_worker_cpu_percent_sum","3","34.27","15.4077026191448","38.277944319219","-4.00794431921904","72.5479443192191"
"1","peak_worker_memory_mib_sum","3","46.8266666666667","6.80924616483597","16.9164704171786","29.9101962494881","63.7431370838452"
"2","api_requests_per_second","3","24.5121218598585","2.81942681442386","7.00440976064347","17.507712099215","31.516531620502"
"2","api_p95_ms","3","109.666666666667","43.6157463920238","108.356265246229","1.31040142043777","218.022931912896"
"2","api_p99_ms","3","553.333333333333","374.210279566627","929.664895474589","-376.331562141255","1482.99822880792"
"2","p95_queue_wait_ms","3","398.441616666667","110.413888426641","274.305441747814","124.136174918853","672.74705841448"
"2","p99_queue_wait_ms","3","436.32512","100.984144863423","250.878769519023","185.446350480977","687.203889519023"
"2","p95_runtime_ms","3","25.3089191666667","0.0403317042694809","0.100197593923454","25.2087215727432","25.4091167605901"
"2","task_processing_utilization","3","0.721748323637233","0.0572474886567918","0.142222123400603","0.57952620023663","0.863970447037836"
"2","peak_broker_queue_length","3","7.33333333333333","2.08166599946613","5.17156237944052","2.16177095389282","12.5048957127738"
"2","average_worker_cpu_percent_sum","3","59.8788888888889","8.44830050847397","20.9884357485962","38.8904531402927","80.8673246374851"
"2","peak_worker_cpu_percent_sum","3","129.78","28.7167599147258","71.3421438753904","58.4378561246096","201.12214387539"
"2","peak_worker_memory_mib_sum","3","104.596666666667","7.27029802231884","18.0618791627416","86.5347875039251","122.658545829408"
"4","api_requests_per_second","3","24.3300504683394","3.14943668898847","7.8242659011482","16.5057845671912","32.1543163694876"
"4","api_p95_ms","3","316.666666666667","383.949649476768","953.860784267343","-637.194117600677","1270.52745093401"
"4","api_p99_ms","3","336.666666666667","375.277674973257","932.316666666667","-595.65","1268.98333333333"
"4","p95_queue_wait_ms","3","225.584883333333","45.7089820618534","113.556570599811","112.028312733522","339.141453933144"
"4","p99_queue_wait_ms","3","271.75579","55.7680517414765","138.546701745082","133.209088254918","410.302491745082"
"4","p95_runtime_ms","3","25.4075585","0.124966405236976","0.31045881528699","25.097099684713","25.718017315287"
"4","task_processing_utilization","3","0.440936892587745","0.011504213846419","0.0285803580153767","0.412356534572368","0.469517250603121"
"4","peak_broker_queue_length","3","0","0","0","0","0"
"4","average_worker_cpu_percent_sum","3","101.316666666667","5.34692850564176","13.283578783737","88.0330878829297","114.600245450404"
"4","peak_worker_cpu_percent_sum","3","242.15","23.6364273950189","58.720879685697","183.429120314303","300.870879685697"
"4","peak_worker_memory_mib_sum","3","198.193333333333","30.8775473982849","76.7102707808625","121.483062552471","274.903604114196"
